trans_date_trans_time,merchant,category,amt,city,state,lat,long,city_pop,job,dob,trans_num,merch_lat,merch_long,is_fraud
2023-02-22 17:54:00,Swiggy,food,816.03,Bengaluru,KA,12.9716,77.5946,12400000,Engineer,1997-01-17,0be33e4c-2a90-4f46-96e8-5a8822062512,13.1001,77.4323,0
2023-11-06 03:00:00,BookMyShow,grocery,759.96,Mumbai,MH,19.076,72.8777,20400000,Engineer,1974-11-21,ed26c5e0-5f98-4dda-8cd4-9e151817abb9,18.8996,72.9039,0
2023-02-03 22:05:00,Flipkart,grocery,2929.95,Chennai,TN,13.0827,80.2707,11300000,Clerk,1986-03-18,cea604ff-2ad3-45bd-9427-1719803e84ee,13.1054,80.124,0
2023-05-17 19:17:00,BookMyShow,entertainment,886.76,Bengaluru,KA,12.9716,77.5946,12400000,Teacher,1964-10-02,3f7bce3c-7c5f-4d74-a490-ef57f6202348,12.9206,77.6137,0
2023-12-06 00:58:00,Myntra,food,954.95,Hyderabad,TS,17.385,78.4867,10000000,Manager,1979-04-26,a0ee52cf-543b-4b8f-8933-6449fcd45967,17.4192,78.468,0
2023-09-08 02:40:00,Ola,fashion,8115.35,Delhi,DL,28.7041,77.1025,18700000,Teacher,1964-02-17,e0723e25-42aa-4a16-966e-56e68f1ff333,28.7959,77.0177,0
2023-02-26 12:30:00,Uber,food,563.87,Bengaluru,KA,12.9716,77.5946,12400000,Clerk,1980-06-23,02134c62-8ae0-438f-8bf6-17b929e2f023,13.0774,77.6238,0
2023-03-10 03:42:00,Zomato,food,175.64,Hyderabad,TS,17.385,78.4867,10000000,Manager,2002-02-02,e8ff7781-cd4b-422f-9c0e-af01aa226f8c,17.5629,78.4763,0
2023-10-08 22:11:00,BookMyShow,food,413.06,Chennai,TN,13.0827,80.2707,11300000,Engineer,1989-06-06,cfb42768-78e8-4ca0-a847-cc69b4ffcfac,13.2375,80.2095,0
2023-10-12 16:20:00,Croma,fashion,5275.7,Hyderabad,TS,17.385,78.4867,10000000,Doctor,1970-08-13,dfe979e6-ec82-4f6f-994b-dd91b4030ceb,31.3868,87.4448,1
2023-10-30 09:49:00,Flipkart,travel,7537.79,Delhi,DL,28.7041,77.1025,18700000,Teacher,1984-04-05,a6c9f29f-ae6a-493c-88af-c85820f7c9c7,28.8987,77.1756,0
2023-05-13 18:40:00,BookMyShow,electronics,3061.55,Delhi,DL,28.7041,77.1025,18700000,Clerk,1986-09-12,80023182-187a-4ea8-8878-65f3849980bc,28.6092,76.9041,0
2023-02-09 07:35:00,Ola,entertainment,3464.97,Bengaluru,KA,12.9716,77.5946,12400000,Student,2003-09-13,d49b450a-83f9-480b-b532-2f58d38311a1,12.9543,77.743,0
2023-05-19 19:08:00,BookMyShow,entertainment,1721.68,Hyderabad,TS,17.385,78.4867,10000000,Engineer,1970-02-11,5d821469-f6b0-4427-80ec-0dc97fffbec7,17.2119,78.3702,0
2023-01-19 13:39:00,Zomato,electronics,168006.67,Mumbai,MH,19.076,72.8777,20400000,Doctor,1984-03-21,a5bff037-9a99-4167-a07f-c6e24ddd915d,22.9198,78.3731,1
2023-12-22 09:36:00,Myntra,grocery,390.29,Chennai,TN,13.0827,80.2707,11300000,Engineer,1990-05-03,42417977-b68e-4380-bace-7685268d1f7b,13.2799,80.2571,0
2023-04-28 13:20:00,Croma,fashion,7440.02,Kolkata,WB,22.5726,88.3639,14800000,Engineer,1993-06-05,5ba5ac6f-1f98-462c-bbd6-d7d7dee3b4b6,22.5791,88.246,0
2023-07-10 03:19:00,Croma,entertainment,3480.64,Chennai,TN,13.0827,80.2707,11300000,Business,1982-04-18,c4d9de1b-3c20-4998-8456-f179c9531ff1,13.0901,80.434,0
2023-05-23 02:25:00,Reliance Digital,electronics,55964.08,Chennai,TN,13.0827,80.2707,11300000,Doctor,1974-04-17,03e9db22-4ecb-4386-9be9-de652ab6d91c,13.2051,80.398,0
2023-05-22 00:11:00,Uber,grocery,6196.87,Kolkata,WB,22.5726,88.3639,14800000,Engineer,1988-12-12,f0331374-67b8-42a8-8c8d-1d96d5b8dc2f,33.8829,102.8421,1
2023-05-29 19:41:00,Uber,food,316.38,Delhi,DL,28.7041,77.1025,18700000,Business,1999-01-16,22a7a95e-4038-476c-b27b-3dd8933145af,28.6972,77.2966,0
2023-10-10 22:09:00,Uber,entertainment,655.63,Kolkata,WB,22.5726,88.3639,14800000,Engineer,1990-03-14,c7b28e38-04a0-482c-9280-1f45ee38290c,22.6855,88.464,0
2023-03-03 20:04:00,BookMyShow,food,917.69,Kolkata,WB,22.5726,88.3639,14800000,Student,1968-01-05,d60da913-f39c-4e98-8b3a-8d3cff24aa6d,22.6625,88.2319,0
2023-09-13 03:48:00,Flipkart,travel,24523.4,Kolkata,WB,22.5726,88.3639,14800000,Clerk,1961-01-26,48b2ccae-eaf9-4971-a421-adb71bac11a7,22.435,88.3832,0
2023-05-22 20:28:00,Croma,food,1185.2,Kolkata,WB,22.5726,88.3639,14800000,Teacher,1976-04-10,f393ec1e-6a73-4178-bcfc-47674d52d9ea,22.7031,88.2483,0
2023-04-06 10:40:00,Croma,travel,10940.1,Chennai,TN,13.0827,80.2707,11300000,Student,1989-11-19,8ffeed0f-2c83-43dc-90e6-990c9a744bfb,12.9071,80.3667,0
2023-01-14 14:53:00,Myntra,electronics,48068.58,Chennai,TN,13.0827,80.2707,11300000,Teacher,1998-01-25,7a37b17f-8f3f-4966-b8c4-364b338c7aaa,13.2318,80.3813,0
2023-02-14 23:15:00,Flipkart,entertainment,657.28,Delhi,DL,28.7041,77.1025,18700000,Clerk,1995-08-26,b5a7154f-b38f-4217-af7a-3f4bd0e7ba2a,28.6345,77.1098,0
2023-03-13 04:13:00,BookMyShow,fashion,1111.88,Mumbai,MH,19.076,72.8777,20400000,Clerk,1964-08-11,33f470b4-c7c5-40c1-9caf-0cbdd9e3d7db,19.0791,72.9024,0
2023-12-15 02:17:00,Swiggy,entertainment,1253.31,Chennai,TN,13.0827,80.2707,11300000,Business,1993-05-18,63def452-cb8b-4168-8ac0-0007eadbf5c3,13.0858,80.1698,0
2023-08-19 02:08:00,Zomato,grocery,1207.47,Hyderabad,TS,17.385,78.4867,10000000,Business,1964-04-22,ba1676ae-b091-4e7d-bdf9-f950826d540d,17.214,78.383,0
2023-09-24 15:31:00,Flipkart,electronics,84676.41,Mumbai,MH,19.076,72.8777,20400000,Student,1989-04-24,249b0394-8c6c-4146-ab90-755ebf85f1a5,18.9332,73.0308,0
2023-04-28 13:49:00,Swiggy,entertainment,3363.29,Hyderabad,TS,17.385,78.4867,10000000,Doctor,1985-06-14,74cc2084-28bd-45ba-a792-89c0c4e4384b,17.4675,78.6843,0
2023-11-30 23:51:00,Zomato,fashion,782.5,Bengaluru,KA,12.9716,77.5946,12400000,Clerk,1981-09-20,e69152b3-3df0-4e4e-b987-a0436daaf84e,12.9478,77.4018,0
2023-03-18 07:09:00,Myntra,electronics,87509.24,Mumbai,MH,19.076,72.8777,20400000,Business,1971-05-25,0c258a3b-820b-4fd4-ab0b-2f2af63ed0ac,18.9096,72.7865,0
2023-07-08 07:31:00,Uber,entertainment,3312.12,Hyderabad,TS,17.385,78.4867,10000000,Engineer,1992-10-16,ca24fbc2-cc8c-4e16-9504-5c3e6fe21b5c,17.3474,78.5013,0
2023-07-15 19:46:00,Swiggy,entertainment,2978.86,Bengaluru,KA,12.9716,77.5946,12400000,Engineer,1976-02-20,59d7206a-379f-4765-aaf4-fa298349f938,27.2318,88.2079,1
2023-11-01 04:53:00,Swiggy,food,112.7,Bengaluru,KA,12.9716,77.5946,12400000,Engineer,1968-01-17,f2fa9863-de86-4a9a-925c-a8dff244917a,13.1423,77.5017,0
2023-08-16 04:27:00,Croma,electronics,19755.61,Delhi,DL,28.7041,77.1025,18700000,Manager,1973-05-15,04b789a9-eba3-4582-b297-f0fa6635486b,28.7556,77.1149,0
2023-01-27 21:44:00,Reliance Digital,grocery,2983.77,Delhi,DL,28.7041,77.1025,18700000,Teacher,1995-04-17,e2db04ba-9a57-42bb-98ea-91656eb5a150,28.5102,77.1957,0
2023-12-27 10:46:00,Swiggy,entertainment,1842.27,Hyderabad,TS,17.385,78.4867,10000000,Teacher,1992-05-23,ec8ee443-df62-4926-a725-f25731279412,17.4034,78.6422,0
2023-04-12 17:45:00,Flipkart,entertainment,2969.61,Bengaluru,KA,12.9716,77.5946,12400000,Manager,1963-03-01,5773e928-61d1-4eb8-899a-9382d12aaa92,12.9335,77.5336,0
2023-03-03 12:28:00,BookMyShow,food,279.57,Kolkata,WB,22.5726,88.3639,14800000,Teacher,1992-11-10,d6c7bd45-a31d-400f-a157-bcf60dcf07e0,22.6387,88.3163,0
2023-07-15 21:45:00,Swiggy,food,303.89,Kolkata,WB,22.5726,88.3639,14800000,Engineer,1981-09-11,8c224aee-0ab8-4dd1-86e9-150e94e46e18,22.5509,88.2692,0
2023-10-05 21:24:00,Croma,electronics,2094.06,Bengaluru,KA,12.9716,77.5946,12400000,Business,2001-04-08,65a4ec69-23c5-4616-9ea2-88e7f72e2db9,12.8052,77.5062,0
2023-01-31 08:10:00,BookMyShow,grocery,474.4,Mumbai,MH,19.076,72.8777,20400000,Clerk,2000-04-03,0bd20bef-4d1a-4c5d-9589-7495432202b6,19.0336,72.7976,0
2023-10-11 15:17:00,BookMyShow,entertainment,3179.36,Delhi,DL,28.7041,77.1025,18700000,Manager,1991-03-10,d6063aa4-298d-408f-9ec6-2d90392cd4ba,28.8098,77.1908,0
2023-04-12 10:34:00,BookMyShow,entertainment,10288.83,Delhi,DL,28.7041,77.1025,18700000,Business,1996-01-27,5feee269-a8a1-49c0-9fcf-e9c67846066d,42.6228,89.1369,1
2023-03-03 23:05:00,Reliance Digital,entertainment,2642.98,Kolkata,WB,22.5726,88.3639,14800000,Clerk,1983-02-13,c44999ae-d8ae-4b77-aeff-4c98d506b9ca,22.3851,88.2171,0
2023-06-28 01:59:00,Croma,entertainment,2219.49,Mumbai,MH,19.076,72.8777,20400000,Engineer,1964-12-17,14a2d2b8-beb4-4704-8be5-a20d12675f81,19.0717,72.679,0
2023-07-03 15:24:00,Swiggy,entertainment,2999.8,Kolkata,WB,22.5726,88.3639,14800000,Teacher,1975-12-25,596f3e87-09b1-4448-8ccf-ecd7cd0a003a,22.6963,88.5024,0
2023-10-06 13:43:00,Swiggy,food,643.34,Kolkata,WB,22.5726,88.3639,14800000,Engineer,1978-01-20,5434f9a8-1c6b-4764-b3d8-7bf4ba7ce209,22.4033,88.5281,0
2023-08-10 16:04:00,Zomato,fashion,9947.25,Chennai,TN,13.0827,80.2707,11300000,Manager,1990-01-16,c60042b1-9a9f-4927-8798-d5d69e151be4,13.1312,80.1241,0
2023-07-27 22:14:00,Zomato,entertainment,2060.53,Mumbai,MH,19.076,72.8777,20400000,Engineer,1967-09-07,89e91721-878f-4963-bd79-6d911af38f44,19.0619,72.8642,0
2023-11-24 06:43:00,Flipkart,food,489.96,Hyderabad,TS,17.385,78.4867,10000000,Teacher,1973-02-19,a645c29c-1039-499b-8520-0e913e13f3fd,32.3126,86.1289,1
2023-07-23 13:48:00,Ola,fashion,2422.77,Kolkata,WB,22.5726,88.3639,14800000,Engineer,1974-08-16,efa322f2-f9df-4246-9f67-74c16c78953a,22.7273,88.4452,0
2023-04-13 11:02:00,Uber,food,2115.21,Delhi,DL,28.7041,77.1025,18700000,Business,1967-06-01,3b1a764b-1296-469a-ac54-f8d75a2867ef,36.6983,84.6158,1
